date,score,technical,volume,margin,institutional,mdd_5d_pct,mdd_20d_pct
2025-05-12,71.7,50.0,76.2,72.0,88.4,1.4643,3.85
2025-05-13,68.0,51.7,68.8,72.3,78.9,1.4643,3.85
2025-05-14,77.0,58.3,77.8,71.8,100.0,1.4643,3.85
2025-05-15,69.2,56.7,81.8,69.8,68.5,1.4643,3.85
2025-05-16,69.1,57.6,77.1,67.4,74.3,1.4643,3.85
2025-05-19,58.8,55.0,77.2,65.4,37.4,1.2261,3.6746
2025-05-20,66.6,54.3,78.9,64.7,68.5,2.1435,3.6746
2025-05-21,74.3,56.1,75.7,65.6,100.0,2.1435,3.6746
2025-05-22,66.9,58.7,76.7,64.2,67.9,1.5432,3.0836
2025-05-23,68.7,59.0,79.7,72.2,64.1,2.9998,3.2847
2025-05-26,71.5,66.8,75.4,71.5,72.4,2.4789,3.2847
2025-05-27,63.1,65.6,75.9,71.9,39.0,1.6622,3.2847
2025-05-28,71.3,66.4,80.5,71.8,66.5,1.6622,3.2847
2025-05-29,70.1,66.5,78.9,72.0,62.8,1.6142,3.2847
2025-06-02,52.5,52.3,70.4,70.5,17.0,0.0635,3.2847
2025-06-03,67.7,55.9,76.3,70.6,67.8,0.0635,3.2847
2025-06-04,78.4,71.5,81.2,72.0,89.0,0.0635,3.2847
2025-06-05,73.6,72.7,81.6,72.4,67.6,0.8112,3.2847
2025-06-06,67.2,72.9,78.3,72.3,45.0,1.7675,3.2847
2025-06-09,73.2,73.7,74.6,72.8,71.7,1.87,3.2847
2025-06-10,82.2,74.7,79.8,74.3,100.0,1.87,3.2847
2025-06-11,74.2,73.5,77.2,74.0,72.2,1.87,3.2847
2025-06-12,71.9,72.6,74.9,72.6,67.4,1.58,2.7943
2025-06-13,69.4,73.0,77.0,70.9,56.7,1.58,2.7943
2025-06-16,72.6,72.7,78.8,71.4,67.3,2.7943,2.7943
2025-06-17,73.5,73.4,75.8,72.3,72.3,2.7943,2.7943
2025-06-18,74.9,73.2,76.5,72.1,77.7,2.7943,2.7943
2025-06-19,58.7,72.9,67.6,70.6,23.6,1.423,1.5441
2025-06-20,70.5,73.2,81.5,70.2,57.1,1.423,1.5441
2025-06-23,62.9,63.1,73.9,70.7,43.9,1.4352,1.5441
2025-06-24,81.4,73.3,80.0,72.4,99.9,1.4352,1.6902
2025-06-25,80.4,73.6,75.7,72.5,100.0,1.4352,1.6902
2025-06-26,79.4,73.5,81.1,72.4,90.6,1.4352,1.6902
2025-06-27,79.7,73.3,80.3,72.2,93.1,1.4352,1.6902
2025-06-30,71.7,74.8,75.0,71.9,65.0,1.2515,1.6902
2025-07-01,82.7,81.8,76.0,73.0,100.0,1.5441,1.6902
